Index,Date,Open,High,Low,Close,Next Price,Volume,Next Price,10-day MA,5-day MA,10-day Forcast,5-day forcast,10 day MA ERROR,5 day MA ERROR,10 day For ERROR,5 day For ERROR,,,,,,,10-day MA,5-day MA,10-day Forecast,5-day Forecast,10-day MA MAE ,5-day MA MAE ,10-day Forecast MAE,10-day Forecast MAE
11,41520.66667,22.9,23.15,22.9,23,22.95,33910604,22.95,23.435,23.18,23.99,24.1,0.485,0.23,1.04,1.15,,,,,,,22.51,22.52,22.7,23.2,,,,
12,41521.66667,22.85,23.1,22.8,22.95,23.25,15896714,23.25,23.52,23.3,24.04,24.46,0.27,0.05,0.79,1.21,,,,,,,22.565,22.68,22.85,23.28,,,,
13,41522.66667,23.2,23.4,23.2,23.25,23.3,51204016,23.3,23.605,23.43,24,24.23,0.305,0.13,0.7,0.93,,,,,,,22.64,22.87,23.1,23.47,,,,
14,41523.66667,23.25,23.4,23.25,23.3,23.4,42129400,23.4,23.7,23.51,24.14333333,24.23,0.3,0.11,0.743333333,0.83,,,,,,,22.725,23.07,23.32,23.42,,,,
15,41526.66667,23.5,23.6,23.35,23.4,23.6,26144464,23.6,23.78,23.57,24.19666667,23.93,0.18,0.03,0.596666667,0.33,,,,,,,22.8,23.18,23.57,23.53,,,,
16,41527.66667,23.6,23.7,23.5,23.6,23.6,29307140,23.6,23.83,23.69,24.14333333,24.33,0.23,0.09,0.543333333,0.73,,,,,,,22.91,23.3,23.81,23.74,,,,
17,41528.66667,23.7,23.8,23.55,23.6,23.65,42738076,23.65,23.86,23.74,24.11,24.42,0.21,0.09,0.46,0.77,,,,,,,23.055,23.43,23.88,23.73,,,,
18,41529.66667,23.65,23.75,23.6,23.65,23.6,18023352,23.6,23.885,23.78,24.03666667,24.22,0.285,0.18,0.436666667,0.62,,,,,,,23.19,23.51,23.92,23.78,,,,
19,41530.66667,23.6,23.7,23.5,23.6,24,34164512,24,23.91,23.89,23.98,24.69,0.09,0.11,0.02,0.69,,,,,,,23.32,23.57,23.84,23.71,,,,
20,41533.66667,23.85,24,23.85,24,23.85,49653152,23.85,23.91,23.99,23.77333333,24.43,0.06,0.14,0.076666667,0.58,,,,,,, , , , ,,,,
21,41534.66667,24,24,23.8,23.85,23.8,47520440,23.8,23.88,23.97,23.71333333,24.29,0.08,0.17,0.086666667,0.49,,,,,,,,,,,,,,
22,41535.66667,23.9,23.95,23.8,23.8,24.2,30760396,24.2,23.89,23.98,23.73333333,23.9,0.31,0.22,0.466666667,0.3,,,,,,,23.605,23.78,24,23.95,,,,
